Question Number,Level,Block 1,Block 2,Block 3,Block 4,Accuracy,Frequency
1,0,1,1,4,6,99.20,0
2,0,1,1,11,11,99.60,0
3,0,6,6,6,6,99.50,0
4,0,1,1,1,8,98.90,0
5,0,1,1,3,8,99.40,0
6,0,1,1,2,12,99.10,0
7,0,1,2,2,6,99.40,0
8,0,2,2,10,10,98.30,0
9,0,1,1,1,12,99.20,0
10,0,1,1,10,12,99.10,0
11,0,1,1,12,12,99.20,0
12,0,4,6,11,11,98.90,0
13,0,1,1,4,8,98.50,0
14,0,1,1,4,12,97.30,0
15,0,1,2,3,4,99.10,0
16,0,1,1,13,13,99.10,0
17,0,2,2,2,12,99.10,0
18,0,1,1,2,8,97.80,0
19,0,1,1,5,8,95.70,0
20,0,1,1,3,12,97.40,0
21,0,11,11,12,12,98.90,0
22,0,1,2,4,12,97.20,0
23,0,1,1,11,13,99.00,0
24,0,1,1,2,13,98.60,0
25,0,1,1,2,11,98.70,0
26,0,4,6,7,7,98.40,0
27,0,1,1,2,6,98.10,0
28,0,1,1,3,6,97.50,0
29,0,3,7,7,8,96.00,0
30,0,3,3,3,8,98.10,0
31,0,7,7,12,12,98.50,0
32,0,2,7,7,12,98.50,0
33,0,1,1,1,11,97.40,0
34,0,4,6,13,13,98.70,0
35,0,1,6,6,12,98.90,0
36,0,2,11,11,12,96.90,0
37,0,4,5,12,12,97.20,0
38,0,1,1,5,6,96.40,0
39,0,1,1,11,12,99.30,0
40,0,1,1,3,9,97.00,0
41,0,5,5,12,12,98.30,0
42,0,2,9,9,12,97.40,0
43,0,2,2,3,8,98.30,0
44,0,5,6,12,12,97.30,0
45,0,10,10,12,12,98.60,0
46,0,1,5,7,12,98.10,0
47,0,4,4,4,6,98.20,0
48,0,1,1,5,5,98.90,0
49,0,1,8,8,8,97.60,0
50,0,1,9,9,12,95.20,0
51,0,12,12,12,12,99.30,0
52,0,1,1,4,5,97.70,0
53,0,1,6,8,12,97.10,0
54,0,5,5,11,12,96.40,0
55,0,1,1,12,13,98.90,0
56,0,3,8,9,9,97.10,0
57,0,11,11,11,13,98.60,0
58,0,3,8,13,13,94.20,0
59,0,12,12,13,13,98.70,0
60,0,1,1,1,13,97.30,0
61,0,1,3,4,12,98.70,0
62,0,1,4,10,10,97.60,0
63,0,2,5,5,12,98.60,0
64,0,3,3,12,12,98.60,0
65,0,3,4,4,8,98.00,0
66,0,11,12,12,12,97.70,0
67,0,1,3,10,10,96.70,0
68,0,9,9,12,12,98.40,0
69,0,1,6,7,12,98.80,0
70,0,8,8,12,12,98.40,0
71,0,3,8,11,11,95.80,0
72,0,1,3,5,12,95.50,0
73,0,2,2,4,6,98.90,0
74,0,1,4,7,12,98.00,0
75,0,11,11,11,12,94.40,0
76,0,2,3,3,12,98.50,0
77,0,1,8,9,12,96.40,0
78,0,3,8,10,10,95.40,0
79,0,2,2,2,3,98.90,0
80,0,4,4,12,12,98.20,0
81,0,5,5,7,7,97.50,0
82,0,7,7,11,12,94.30,0
83,0,2,3,12,12,97.50,0
84,0,4,5,11,12,96.80,0
85,0,1,1,3,7,96.30,0
86,0,1,1,4,7,96.80,0
87,0,2,12,13,13,96.80,0
88,0,3,5,5,8,96.20,0
89,0,1,8,8,12,96.80,0
90,0,1,2,5,12,95.70,0
91,0,1,4,6,12,96.30,0
92,0,2,3,3,8,96.50,0
93,0,9,9,11,12,93.80,0
94,0,2,7,7,8,96.30,0
95,0,1,3,3,4,97.30,0
96,0,2,2,12,12,98.80,0
97,0,3,7,7,7,97.50,0
98,0,1,7,9,12,95.50,0
99,0,3,7,8,8,96.00,0
100,0,6,7,12,12,94.90,0
101,0,1,1,2,10,95.30,0
102,0,1,2,5,8,95.10,0
103,0,3,3,4,6,97.60,0
104,0,1,6,6,11,98.10,0
105,0,3,4,4,6,97.30,0
106,0,4,5,5,6,97.00,0
107,0,4,6,9,9,96.60,0
108,0,6,6,11,13,97.90,0
109,0,8,8,11,13,96.40,0
110,0,1,2,2,10,96.10,0
111,0,1,1,10,13,97.80,0
112,0,2,8,9,9,96.60,0
113,0,3,6,11,11,94.70,0
114,0,1,2,6,6,97.60,0
115,0,1,7,7,10,97.70,0
116,0,4,6,6,6,97.90,0
117,0,1,2,2,12,97.40,0
118,0,1,6,9,12,94.80,0
119,0,1,8,10,12,95.60,0
120,0,3,4,11,13,96.30,0
121,0,2,4,11,11,95.80,0
122,0,7,8,12,12,95.80,0
123,0,3,3,11,12,94.50,0
124,0,1,5,6,12,98.60,0
125,0,1,5,8,12,98.60,0
126,0,6,6,12,12,98.40,0
127,0,3,8,12,13,95.50,0
128,0,4,4,11,13,97.30,0
129,0,2,10,10,12,96.60,0
130,0,1,3,6,12,96.30,0
131,0,1,4,5,12,95.10,0
132,0,2,2,3,12,97.90,0
133,0,2,4,4,12,98.60,0
134,0,4,8,11,11,94.60,0
135,0,8,9,12,12,95.80,0
136,0,1,2,4,8,96.90,0
137,0,12,12,12,13,96.80,0
138,0,1,3,3,12,94.70,0
139,0,1,4,8,12,97.50,0
140,0,4,5,12,13,97.60,0
141,0,4,6,8,8,96.70,0
142,0,1,4,4,12,95.70,0
143,0,3,6,7,7,92.60,0
144,0,3,6,13,13,93.70,0
145,0,3,7,10,10,97.20,0
146,0,1,2,4,4,97.80,0
147,0,1,2,11,11,97.80,0
148,0,2,2,4,5,98.30,0
149,0,2,8,8,12,97.20,0
150,0,7,7,11,13,96.80,0
151,0,1,1,3,4,98.10,0
152,0,1,3,9,12,96.10,0
153,0,4,8,10,10,97.40,0
154,0,5,5,5,5,94.50,0
155,0,11,13,13,13,97.50,0
156,0,9,9,11,13,96.90,0
157,0,9,10,12,12,95.20,0
158,0,1,6,7,10,98.50,0
159,0,2,8,10,10,94.60,0
160,0,4,6,6,7,96.10,0
161,0,1,2,6,8,95.70,0
162,0,1,7,8,10,98.00,0
163,0,1,2,3,8,96.90,0
164,0,1,3,6,8,95.20,0
165,0,1,7,8,9,96.70,0
166,0,3,8,8,8,97.40,0
167,0,1,1,3,13,94.30,0
168,0,1,6,12,12,94.30,0
169,0,5,6,11,12,97.00,0
170,0,1,5,7,13,98.00,0
171,0,1,10,10,12,91.00,0
172,0,1,12,13,13,94.00,0
173,0,3,3,4,8,96.80,0
174,0,5,6,12,13,96.90,0
175,0,1,2,6,12,96.30,0
176,0,1,11,11,12,92.90,0
177,0,4,8,13,13,93.80,0
178,0,1,2,3,10,98.30,0
179,0,3,8,10,11,93.30,0
180,0,10,10,11,13,97.60,0
181,0,10,11,12,12,95.60,0
182,0,1,5,8,8,94.60,0
183,0,4,4,11,12,89.80,0
184,0,4,7,7,8,93.70,0
185,0,1,1,6,6,97.10,0
186,0,4,6,10,10,95.70,0
187,0,1,6,8,9,98.40,0
188,0,3,4,12,12,94.00,0
189,0,3,6,6,8,96.60,0
190,0,4,6,10,11,93.60,0
191,0,1,5,7,11,98.20,0
192,0,1,7,8,8,97.10,0
193,0,1,1,4,4,93.90,0
194,0,4,5,5,5,96.90,0
195,0,1,4,7,8,97.30,0
196,0,5,5,12,13,95.30,0
197,0,3,9,9,9,97.50,0
198,0,1,3,11,11,97.00,0
199,0,6,6,10,13,93.20,0
200,0,3,6,7,8,97.60,0
201,0,3,3,3,6,97.70,0
202,0,2,11,12,12,95.70,0
203,0,3,3,11,13,96.10,0
204,0,1,8,10,13,94.20,0
205,0,5,5,11,13,95.20,0
206,0,1,1,9,13,96.50,0
207,0,2,3,11,12,93.40,0
208,0,3,8,12,12,96.00,0
209,0,1,2,10,12,96.80,0
210,0,2,8,13,13,88.70,0
211,0,2,2,11,13,97.90,0
212,0,1,1,5,7,96.60,0
213,0,1,2,8,8,95.90,0
214,0,3,3,3,12,97.10,0
215,0,1,4,6,8,94.00,0
216,0,1,10,12,12,95.30,0
217,0,2,2,11,12,91.00,0
218,0,3,6,10,11,95.60,0
219,0,1,1,3,11,94.10,0
220,0,1,5,5,12,89.50,0
221,0,1,5,10,10,97.70,0
222,0,1,2,12,12,96.10,0
223,0,1,5,8,9,93.30,0
224,0,1,7,7,12,88.90,0
225,0,4,4,5,6,95.80,0
226,0,1,4,8,8,95.90,0
227,0,8,8,11,12,89.60,0
228,0,1,2,10,11,97.50,0
229,0,1,2,13,13,96.60,0
230,0,10,13,13,13,92.20,0
231,0,11,12,13,13,95.30,0
232,0,3,4,5,8,96.50,0
233,0,3,8,11,12,93.80,0
234,0,1,2,3,12,96.40,0
235,0,3,11,11,12,90.80,0
236,0,6,10,10,10,95.50,0
237,0,1,6,9,9,97.50,0
238,0,1,2,2,8,92.70,0
239,0,2,6,6,12,97.40,0
240,0,1,4,4,5,96.90,0
241,0,5,5,5,6,95.50,0
242,0,1,3,6,6,97.20,0
243,0,1,3,8,9,91.80,0
244,0,1,5,7,8,94.10,0
245,0,4,6,7,8,95.40,0
246,0,1,9,12,12,92.00,0
247,0,7,7,12,13,93.20,0
248,0,2,12,12,13,95.40,0
249,0,7,9,11,11,95.10,0
250,0,1,3,5,8,94.40,0
251,0,2,7,8,12,94.20,0
252,0,9,9,12,13,93.60,0
253,0,1,2,4,6,95.70,0
254,0,2,2,2,8,96.50,0
255,0,6,6,11,12,88.60,0
256,0,1,6,6,13,96.90,0
257,0,4,8,9,9,89.00,0
258,0,1,8,8,9,96.30,0
259,0,1,2,5,6,94.90,0
260,0,1,6,7,11,97.00,0
261,0,2,10,11,12,95.60,0
262,0,2,13,13,13,88.90,0
263,0,4,6,12,12,96.10,0
264,0,1,3,3,5,95.90,0
265,0,1,5,8,10,95.90,0
266,0,1,6,8,10,97.40,0
267,0,4,4,4,4,97.50,0
268,0,1,2,10,13,96.70,0
269,0,1,4,6,13,97.80,0
270,0,4,4,5,5,93.30,0
271,0,7,8,11,12,95.90,0
272,0,2,2,8,12,98.50,0
273,0,2,11,11,11,88.50,0
274,0,2,3,4,6,98.10,0
275,0,3,4,10,13,96.20,0
276,0,10,10,11,12,92.10,0
277,0,1,4,12,12,90.10,0
278,0,4,4,10,13,93.00,0
279,0,6,7,11,12,96.20,0
280,0,1,2,3,6,97.10,0
281,0,1,3,3,7,96.80,0
282,0,4,5,6,6,94.90,0
283,0,2,11,13,13,93.10,0
284,0,2,12,12,12,97.90,0
285,0,3,5,11,11,94.00,0
286,0,1,5,6,6,93.80,0
287,0,2,8,8,13,92.50,0
288,0,3,12,13,13,90.00,0
289,0,4,5,13,13,85.80,0
290,0,4,6,12,13,93.00,0
291,0,5,6,6,7,97.90,0
292,0,5,6,7,7,86.20,0
293,0,1,4,4,7,96.30,0
294,0,1,7,8,12,95.50,0
295,0,2,5,6,12,94.90,0
296,0,4,5,9,9,86.40,0
297,0,1,1,2,9,94.20,0
298,0,2,4,5,12,94.60,0
299,0,1,9,11,12,93.10,0
300,0,1,10,11,12,94.10,0
301,0,2,3,11,13,92.00,0
302,0,2,8,10,11,93.50,0
303,0,12,13,13,13,94.30,0
304,0,1,1,2,7,94.60,0
305,0,1,2,5,7,94.30,0
306,0,1,4,8,13,97.20,0
307,0,2,4,4,8,96.20,0
308,0,1,7,7,11,97.00,0
309,0,4,7,10,11,96.80,0
310,0,1,6,6,10,93.20,0
311,0,3,7,9,9,89.30,0
312,0,5,7,10,12,96.60,0
313,0,3,3,5,6,96.40,0
314,0,2,2,2,11,90.90,0
315,0,2,6,6,8,95.20,0
316,0,2,2,2,4,96.00,0
317,0,3,10,10,12,93.20,0
318,0,3,9,9,12,94.20,0
319,0,4,4,12,13,91.60,0
320,0,1,3,6,7,95.60,0
321,0,3,8,9,10,95.90,0
322,0,1,3,3,9,97.30,0
323,0,1,3,13,13,97.00,0
324,0,2,2,5,5,92.60,0
325,0,2,8,9,12,94.90,0
326,0,4,6,11,12,92.80,0
327,0,4,7,12,12,87.10,0
328,0,5,7,11,11,95.60,0
329,0,6,7,12,13,94.60,0
330,0,8,8,8,10,88.80,0
331,0,1,2,5,5,94.40,0
332,0,2,5,6,11,94.90,0
333,0,10,11,11,13,93.70,0
334,0,1,1,4,9,92.40,0
335,0,1,3,3,3,95.40,0
336,0,1,4,7,13,96.60,0
337,0,1,5,10,12,91.90,0
338,0,1,6,8,11,97.50,0
339,0,3,6,6,7,93.40,0
340,0,3,7,13,13,85.50,0
341,0,11,12,12,13,96.90,0
342,0,2,8,11,11,87.20,0
343,0,6,8,11,11,93.60,0
344,0,1,3,10,12,95.60,0
345,0,3,3,3,3,95.50,0
346,0,9,10,11,12,95.60,0
347,0,10,10,10,13,92.10,0
348,0,1,3,10,11,96.30,0
349,0,8,9,11,12,94.50,0
350,0,1,2,6,7,95.70,0
351,0,6,8,10,12,97.40,0
352,0,7,8,12,13,96.30,0
353,0,1,12,12,12,93.00,0
354,0,3,3,12,13,92.80,0
355,0,4,5,7,7,90.30,0
356,0,5,6,13,13,85.30,0
357,0,1,1,3,5,95.00,0
358,0,1,7,8,11,91.90,0
359,0,2,3,12,13,95.50,0
360,0,1,3,5,13,94.30,0
361,0,7,9,13,13,96.20,0
362,0,2,2,2,13,93.40,0
363,0,4,4,4,8,95.90,0
364,0,4,6,9,10,92.90,0
365,0,9,11,11,11,95.20,0
366,0,2,6,10,12,94.10,0
367,0,8,9,10,13,95.50,0
368,0,3,8,8,9,95.20,0
369,0,2,4,5,8,94.10,0
370,0,3,7,11,11,85.50,0
371,0,1,2,2,11,96.90,0
372,0,4,5,10,10,89.80,0
373,0,4,7,8,8,93.40,0
374,0,1,2,3,5,95.10,0
375,0,1,2,11,13,93.50,0
376,0,1,9,10,12,93.40,0
377,0,3,7,7,12,88.30,0
378,0,3,3,4,4,94.10,0
379,0,3,4,5,7,96.50,0
380,0,5,5,10,10,86.70,0
381,0,11,11,12,13,94.70,0
382,0,1,3,4,4,92.70,0
383,0,8,9,12,13,95.20,0
384,0,9,9,10,13,90.20,0
385,0,2,5,5,13,90.70,0
386,0,1,6,8,8,92.60,0
387,0,2,9,9,11,86.20,0
388,0,1,2,4,10,95.90,0
389,0,2,6,10,10,95.60,0
390,0,1,2,7,10,90.90,0
391,0,1,3,4,5,97.40,0
392,0,1,8,8,10,91.50,0
393,0,4,8,8,8,93.80,0
394,0,8,8,12,13,91.20,0
395,0,1,3,7,13,96.50,0
396,0,5,6,11,11,86.50,0
397,0,2,3,5,5,96.00,0
398,0,1,1,6,8,95.10,0
399,0,1,10,12,13,93.60,0
400,0,2,6,7,13,96.40,0
401,0,4,6,6,8,96.90,0
402,0,2,5,9,12,94.80,0
403,0,2,8,12,12,94.30,0
404,0,2,9,9,13,87.20,0
405,0,2,11,11,13,94.00,0
406,0,4,4,4,12,96.60,0
407,0,6,9,12,12,88.20,0
408,0,1,11,12,12,93.40,0
409,0,2,2,7,13,95.90,0
410,0,2,4,13,13,94.40,0
411,0,1,2,11,12,96.70,0
412,0,1,3,7,8,88.50,0
413,0,3,3,9,9,95.80,0
414,0,4,5,11,11,86.60,0
415,0,3,4,5,12,96.70,0
416,0,8,10,11,11,94.50,0
417,0,1,3,9,11,95.30,0
418,0,2,3,3,13,93.90,0
419,0,1,5,6,9,91.50,0
420,0,1,7,7,9,96.40,0
421,0,3,6,6,12,95.10,0
422,0,3,6,9,9,93.40,0
423,0,5,6,9,9,90.40,0
424,0,1,1,6,12,89.10,0
425,0,1,2,3,7,96.00,0
426,0,2,2,3,9,94.00,0
427,0,5,5,13,13,84.20,0
428,0,6,7,10,13,95.90,0
429,0,5,5,6,6,92.80,0
430,0,5,5,7,8,91.90,0
431,0,2,9,10,12,93.40,0
432,0,3,3,3,10,94.40,0
433,0,2,6,7,12,91.60,0
434,0,3,6,11,12,92.20,0
435,0,3,8,8,12,90.90,0
436,0,4,8,10,12,95.90,0
437,0,2,6,7,9,96.10,0
438,0,5,9,10,10,92.30,0
439,0,1,4,5,5,96.40,0
440,0,4,7,11,11,85.60,0
441,0,7,7,10,13,88.40,0
442,0,1,7,10,12,91.90,0
443,0,6,6,6,11,88.40,0
444,0,1,7,9,13,93.50,0
445,0,2,4,10,12,96.60,0
446,0,10,10,12,13,91.70,0
447,0,1,2,2,13,96.40,0
448,0,1,5,5,6,94.10,0
449,0,3,3,3,7,91.70,0
450,0,1,2,2,4,95.80,0
451,0,2,2,12,13,91.60,0
452,0,10,11,11,12,96.20,0
453,0,1,7,9,9,94.70,0
454,0,4,7,13,13,85.80,0
455,0,1,1,8,8,88.00,0
456,0,1,8,8,11,93.10,0
457,0,2,3,7,12,93.90,0
458,0,3,4,8,10,93.50,0
459,0,3,5,6,8,93.20,0
460,0,4,4,5,8,96.50,0
461,0,3,7,12,13,93.00,0
462,0,1,11,12,13,92.90,0
463,0,2,8,8,8,93.20,0
464,0,5,5,9,9,83.70,0
465,0,7,10,10,11,92.40,0
466,0,1,6,8,13,93.70,0
467,0,2,5,5,8,86.40,0
468,0,4,4,8,8,96.00,0
469,0,4,7,7,7,88.50,0
470,0,6,8,13,13,92.90,0
471,0,1,2,4,13,92.80,0
472,0,4,8,11,12,92.80,0
473,0,5,6,8,8,91.70,0
474,0,3,5,5,6,88.60,0
475,0,5,10,11,11,89.70,0
476,0,8,8,9,11,88.50,0
477,0,1,4,4,4,95.70,0
478,0,2,2,4,7,95.50,0
479,0,2,2,10,13,89.70,0
480,0,5,5,10,13,88.20,0
481,0,1,3,4,11,95.70,0
482,0,2,4,8,10,97.80,0
483,0,1,6,6,9,89.10,0
484,0,2,6,9,11,94.80,0
485,0,1,8,9,11,92.60,0
486,0,3,5,13,13,93.40,0
487,0,3,7,7,9,85.20,0
488,0,1,2,12,13,95.00,0
489,0,1,2,3,9,96.10,0
490,0,3,3,4,5,93.60,0
491,0,3,4,9,12,94.10,0
492,0,4,5,11,13,89.10,0
493,0,6,8,8,8,86.20,0
494,0,1,3,8,12,97.00,0
495,0,3,4,11,12,94.60,0
496,0,3,6,6,9,95.70,0
497,0,2,3,5,6,94.70,0
498,0,3,9,10,11,92.20,0
499,0,2,7,8,13,93.60,0
500,0,5,10,13,13,91.80,0
501,0,7,8,8,9,86.00,0
502,0,1,5,9,9,94.30,0
503,0,1,12,12,13,93.20,0
504,0,3,6,8,8,91.80,0
505,0,6,6,12,13,90.30,0
506,0,8,8,10,13,89.90,0
507,0,3,5,10,12,94.70,0
508,0,4,4,7,9,92.60,0
509,0,5,5,11,11,85.90,0
510,0,1,3,5,11,93.20,0
511,0,2,7,7,13,83.90,0
512,0,3,3,5,5,88.20,0
513,0,4,7,12,13,91.30,0
514,0,1,4,10,11,94.80,0
515,0,2,10,10,13,88.70,0
516,0,2,2,2,10,94.20,0
517,0,1,4,8,11,95.90,0
518,0,2,3,4,12,93.40,0
519,0,2,5,6,8,94.70,0
520,0,4,7,9,9,85.00,0
521,0,5,8,8,10,89.80,0
522,0,10,12,12,13,89.30,0
523,0,3,5,6,12,92.70,0
524,0,3,9,11,11,84.60,0
525,0,1,8,9,13,90.30,0
526,0,2,2,7,8,93.70,0
527,0,2,5,12,12,80.70,0
528,0,4,8,12,13,91.00,0
529,0,5,6,11,13,90.40,0
530,0,9,10,10,13,94.30,0
531,0,2,2,6,12,93.90,0
532,0,4,5,7,8,95.00,0
533,0,5,7,13,13,93.20,0
534,0,2,4,5,13,94.70,0
535,0,2,10,10,11,82.40,0
536,0,4,5,5,8,86.50,0
537,0,2,2,6,6,95.40,0
538,0,3,6,6,6,93.70,0
539,0,2,2,4,10,93.00,0
540,0,3,7,11,12,89.20,0
541,0,5,5,10,11,86.10,0
542,0,3,5,5,12,87.90,0
543,0,4,4,4,7,90.90,0
544,0,7,9,10,12,93.10,0
545,0,3,3,4,12,95.00,0
546,0,1,8,11,12,91.00,0
547,0,2,2,4,8,95.40,0
548,0,3,6,10,12,92.80,0
549,0,1,2,2,5,94.90,0
550,0,1,2,4,11,90.50,0
551,0,2,3,3,6,96.10,0
552,0,3,5,5,7,89.10,0
553,0,3,9,13,13,84.80,0
554,0,6,6,6,9,88.30,0
555,0,5,6,7,8,92.80,0
556,0,1,9,11,11,88.60,0
557,0,2,8,12,13,89.40,0
558,0,6,7,11,13,89.60,0
559,0,9,11,13,13,90.90,0
560,0,2,7,8,8,92.00,0
561,0,3,3,4,7,89.40,0
562,0,3,3,10,13,88.40,0
563,0,2,3,3,11,88.60,0
564,0,2,6,6,6,95.20,0
565,0,2,6,6,13,84.30,0
566,0,3,4,4,7,89.40,0
567,0,3,7,9,10,90.90,0
568,0,3,12,12,13,91.20,0
569,0,1,4,6,11,92.60,0
570,0,2,3,5,11,94.70,0
571,0,2,2,3,3,93.20,0
572,0,3,4,4,12,89.10,0
573,0,1,2,5,9,95.20,0
574,0,2,6,8,11,93.00,0
575,0,8,9,11,13,90.30,0
576,0,2,2,9,11,90.30,0
577,0,1,6,9,13,89.20,0
578,0,3,3,8,9,88.20,0
579,0,1,4,4,10,91.50,0
580,0,1,4,9,12,95.50,0
581,0,7,10,12,12,82.80,0
582,0,6,6,10,12,93.00,0
583,0,4,7,9,10,89.10,0
584,0,2,7,11,12,91.40,0
585,0,1,5,6,10,91.30,0
586,0,2,6,6,11,81.50,0
587,0,3,6,12,12,92.70,0
588,0,6,6,9,12,92.20,0
589,0,3,4,7,9,93.00,0
590,0,2,7,8,11,95.10,0
591,0,2,4,4,11,82.10,0
592,0,8,8,8,12,87.40,0
593,0,2,2,6,10,95.00,0
594,0,3,9,10,10,82.80,0
595,0,4,4,10,12,90.00,0
596,0,9,12,12,12,80.00,0
597,0,1,4,9,11,94.40,0
598,0,4,6,8,9,92.10,0
599,0,3,5,8,11,89.50,0
600,0,4,8,10,11,88.00,0
601,0,2,4,6,10,93.00,0
602,0,3,4,4,9,89.50,0
603,0,3,7,12,12,90.70,0
604,0,10,12,13,13,94.10,0
605,0,1,4,4,9,93.40,0
606,0,8,10,13,13,91.40,0
607,0,1,3,6,9,93.10,0
608,0,2,8,9,10,88.10,0
609,0,4,10,12,12,92.00,0
610,0,3,4,5,5,93.90,0
611,0,4,5,9,10,89.20,0
612,0,1,2,6,9,93.90,0
613,0,3,6,7,9,92.50,0
614,0,2,6,11,13,88.10,0
615,0,2,7,7,11,85.20,0
616,0,2,8,8,9,89.20,0
617,0,3,6,9,10,91.90,0
618,0,5,6,10,10,85.90,0
619,0,3,4,12,13,93.10,0
620,0,4,7,9,12,94.90,0
621,0,4,8,9,10,87.40,0
622,0,2,7,9,10,94.20,0
623,0,3,5,8,8,91.00,0
624,0,2,2,3,7,87.30,0
625,0,2,5,6,7,92.10,0
626,0,1,2,9,12,91.70,0
627,0,1,5,5,13,93.10,0
628,0,1,6,11,12,88.70,0
629,0,2,4,9,13,93.30,0
630,0,3,4,10,12,92.40,0
631,0,5,6,10,11,89.30,0
632,0,2,4,4,13,83.70,0
633,0,6,7,8,10,90.90,0
634,0,2,4,9,9,90.60,0
635,0,3,4,9,11,88.60,0
636,0,4,5,10,11,86.50,0
637,0,7,8,11,13,89.10,0
638,0,1,4,5,11,89.90,0
639,0,3,7,10,11,89.40,0
640,0,9,10,12,13,93.20,0
641,0,1,3,6,13,91.00,0
642,0,3,7,8,12,94.50,0
643,0,2,6,8,10,93.00,0
644,0,6,8,8,10,89.90,0
645,0,2,5,6,13,90.50,0
646,0,1,3,4,9,94.30,0
647,0,2,4,8,11,92.60,0
648,0,3,4,7,10,92.70,0
649,0,4,7,8,9,92.00,0
650,0,4,8,8,9,91.10,0
651,0,5,6,6,6,86.10,0
652,0,8,10,10,12,93.30,0
653,0,2,4,4,4,93.70,0
654,0,3,5,6,6,91.60,0
655,0,5,8,8,9,85.90,0
656,0,1,2,8,9,93.50,0
657,0,10,11,12,13,95.60,0
658,0,1,4,9,10,93.60,0
659,0,2,3,5,9,91.80,0
660,0,2,5,10,11,94.00,0
661,0,2,9,10,11,87.40,0
662,0,3,4,5,10,89.90,0
663,0,3,6,10,10,82.90,0
664,0,2,2,8,10,94.00,0
665,0,2,4,8,8,93.90,0
666,0,2,8,9,13,88.70,0
667,0,1,2,3,3,95.80,0
668,0,2,6,7,8,88.40,0
669,0,3,9,12,13,88.20,0
670,0,5,8,11,13,87.10,0
671,0,4,6,8,12,93.90,0
672,0,1,3,4,10,92.00,0
673,0,5,8,8,13,92.30,0
674,0,2,6,6,10,93.20,0
675,0,5,5,8,9,89.00,0
676,0,2,3,3,7,91.50,0
677,0,5,6,9,10,90.50,0
678,0,2,2,3,13,86.20,0
679,0,3,9,12,12,89.30,0
680,0,5,8,9,11,88.10,0
681,0,2,2,4,11,91.70,0
682,0,3,6,8,9,93.20,0
683,0,1,2,2,7,91.20,0
684,0,3,3,7,11,91.50,0
685,0,1,3,4,13,93.10,0
686,0,4,4,6,12,92.30,0
687,0,6,6,7,10,82.30,0
