Question Number,Level,Block 1,Block 2,Block 3,Block 4,Accuracy,Frequency
688,0,1,11,13,13,90.80,0
689,0,6,6,8,9,90.00,0
690,0,2,9,12,13,89.60,0
691,0,3,7,10,13,87.10,0
692,0,3,12,12,12,90.10,0
693,0,1,2,3,11,95.60,0
694,0,2,3,4,8,91.80,0
695,0,2,8,8,11,83.10,0
696,0,2,4,8,12,92.40,0
697,0,5,6,10,13,90.70,0
698,0,6,6,9,11,88.40,0
699,0,1,3,9,13,93.30,0
700,0,1,5,9,10,92.60,0
701,0,1,6,12,13,88.20,0
702,0,1,8,11,13,86.20,0
703,0,2,5,5,11,80.90,0
704,0,4,5,6,7,89.40,0
705,0,4,4,4,5,82.80,0
706,0,3,11,12,12,89.60,0
707,0,4,4,7,12,88.50,0
708,0,3,7,7,13,92.40,0
709,0,6,6,7,9,89.30,0
710,0,1,2,7,8,94.70,0
711,0,2,4,6,9,90.80,0
712,0,2,4,7,10,90.60,0
713,0,3,3,8,12,91.30,0
714,0,4,5,8,9,87.50,0
715,0,5,5,8,8,82.50,0
716,0,4,4,6,11,85.00,0
717,0,5,8,12,12,72.70,0
718,0,1,2,6,13,89.80,0
719,0,2,10,11,13,87.50,0
720,0,4,5,5,9,91.40,0
721,0,1,2,5,13,94.30,0
722,0,2,2,3,6,91.30,0
723,0,2,4,6,6,93.70,0
724,0,2,9,11,11,88.00,0
725,0,4,8,9,11,93.40,0
726,0,1,3,4,7,95.20,0
727,0,4,4,8,11,85.30,0
728,0,4,5,8,12,93.00,0
729,0,2,8,9,11,90.00,0
730,0,2,9,10,13,89.40,0
731,0,3,10,11,12,88.70,0
732,0,1,1,3,10,87.70,0
733,0,1,5,6,8,90.00,0
734,0,3,6,7,12,88.10,0
735,0,1,2,9,13,93.00,0
736,0,9,10,11,13,88.20,0
737,0,3,5,6,9,91.50,0
738,0,5,5,9,10,85.90,0
739,0,2,5,7,10,92.50,0
740,0,2,5,8,9,92.70,0
741,0,6,8,9,13,93.50,0
742,0,4,4,4,9,87.00,0
743,0,6,8,8,11,86.00,0
744,0,1,2,4,9,91.20,0
745,0,1,3,12,12,84.20,0
746,0,2,3,4,13,89.50,0
747,0,2,3,6,10,92.80,0
748,0,3,9,9,10,85.10,0
749,0,4,8,8,12,94.20,0
750,0,2,3,10,13,92.70,0
751,0,4,5,8,8,86.20,0
752,0,1,4,6,7,86.10,0
753,0,3,4,7,7,93.30,0
754,0,4,5,9,13,87.80,0
755,0,4,6,10,12,93.00,0
756,0,6,8,10,13,84.90,0
757,0,5,5,6,7,90.70,0
758,0,1,5,5,9,87.20,0
759,0,2,2,4,13,91.10,0
760,0,4,4,8,10,90.20,0
761,0,1,5,9,11,92.70,0
762,0,2,4,7,11,92.40,0
763,0,1,3,5,7,89.80,0
764,0,2,3,7,11,92.20,0
765,0,1,4,6,9,85.00,0
766,0,2,3,9,9,90.80,0
767,0,4,4,8,13,84.50,0
768,0,3,4,4,5,90.60,0
769,0,3,9,10,12,89.10,0
770,0,7,8,10,13,91.10,0
771,0,1,2,4,5,89.70,0
772,0,1,2,7,9,92.50,0
773,0,2,5,8,13,91.50,0
774,0,2,3,4,11,87.40,0
775,0,4,4,9,11,79.70,0
776,0,1,3,5,10,92.80,0
777,0,1,6,10,13,85.40,0
778,0,2,2,5,6,88.30,0
779,0,5,6,6,10,88.30,0
780,0,6,6,8,10,89.10,0
781,0,8,11,12,12,74.40,0
782,0,2,3,3,9,93.20,0
783,0,2,3,8,12,93.60,0
784,0,1,2,6,11,89.40,0
785,0,3,5,6,7,87.90,0
786,0,1,4,5,10,90.40,0
787,0,5,6,7,12,83.10,0
788,0,4,4,4,11,84.70,0
789,0,6,8,12,12,90.40,0
790,0,2,2,5,7,88.80,0
791,0,2,3,4,4,93.50,0
792,0,2,2,3,11,83.90,0
793,0,3,6,12,13,84.10,0
794,0,1,5,10,13,87.40,0
795,0,3,5,9,12,89.40,0
796,0,4,11,12,13,89.30,0
797,0,2,8,11,12,86.50,0
798,0,1,3,8,8,85.10,0
799,0,2,11,12,13,89.20,0
800,0,4,7,10,10,81.90,0
801,0,4,5,10,13,90.50,0
802,0,1,6,9,10,90.80,0
803,0,3,7,8,9,84.70,0
804,0,4,7,7,11,86.00,0
805,0,5,10,10,12,85.90,0
806,0,1,3,3,10,88.80,0
807,0,2,8,8,10,91.70,0
808,0,6,8,11,13,84.60,0
809,0,2,2,4,9,90.10,0
810,0,2,10,11,11,84.20,0
811,0,3,7,7,10,87.80,0
812,0,5,8,9,12,91.90,0
813,0,3,3,5,9,86.90,0
814,0,1,1,7,10,82.20,0
815,0,3,4,7,11,86.60,0
816,0,3,3,7,9,88.90,0
817,0,4,9,9,10,89.40,0
818,0,2,4,10,13,88.90,0
819,0,3,3,6,9,93.70,0
820,0,4,7,8,13,90.00,0
821,0,2,2,6,8,94.60,0
822,0,2,4,5,9,84.30,0
823,0,5,9,9,11,88.00,0
824,0,2,3,8,11,92.10,0
825,0,2,6,8,8,92.20,0
826,0,6,6,8,11,80.50,0
827,0,4,5,7,11,87.40,0
828,0,5,6,8,9,88.40,0
829,0,5,7,8,9,87.00,0
830,0,5,7,8,8,80.80,0
831,0,6,6,8,13,81.50,0
832,0,3,3,4,9,92.50,0
833,0,6,6,6,12,88.50,0
834,0,1,2,5,10,90.90,0
835,0,3,4,5,9,83.00,0
836,0,3,3,6,11,89.40,0
837,0,4,5,7,12,86.80,0
838,0,4,12,12,12,84.20,0
839,0,2,3,6,11,90.10,0
840,0,4,9,12,12,88.40,0
841,0,1,9,11,13,85.20,0
842,0,2,4,4,7,88.70,0
843,0,2,7,9,13,86.50,0
844,0,3,4,6,12,92.40,0
845,0,2,2,5,11,85.30,0
846,0,8,8,8,13,81.80,0
847,0,4,6,7,10,85.70,0
848,0,1,5,5,11,87.10,0
849,0,3,5,9,13,90.80,0
850,0,6,6,8,12,90.70,0
851,0,3,8,8,11,88.90,0
852,0,3,9,11,12,88.90,0
853,0,7,8,8,11,77.30,0
854,0,3,4,4,13,88.90,0
855,0,6,6,6,8,91.50,0
856,0,6,9,10,11,89.80,0
857,0,7,12,12,13,80.20,0
858,0,4,4,5,7,83.30,0
859,0,1,3,5,9,90.60,0
860,0,1,7,12,12,78.00,0
861,0,2,3,4,10,91.10,0
862,0,3,3,6,10,85.10,0
863,0,5,7,9,13,91.10,0
864,0,5,6,7,13,85.40,0
865,0,8,8,9,13,79.10,0
866,0,3,4,6,10,89.20,0
867,0,2,3,9,13,85.50,0
868,0,4,5,6,10,89.40,0
869,0,1,5,6,13,90.30,0
870,0,3,5,5,9,80.90,0
871,0,4,4,5,10,85.00,0
872,0,1,7,9,10,84.80,0
873,0,1,1,4,10,83.70,0
874,0,4,7,11,12,84.80,0
875,0,2,4,6,13,86.50,0
876,0,2,6,8,12,93.70,0
877,0,2,4,8,9,82.30,0
878,0,2,4,5,11,87.30,0
879,0,2,4,6,7,90.10,0
880,0,5,5,6,11,85.60,0
881,0,2,3,6,9,92.50,0
882,0,3,3,6,13,84.70,0
883,0,5,6,8,12,86.80,0
884,0,6,11,11,12,84.40,0
885,0,1,2,4,7,89.00,0
886,0,2,5,6,10,86.60,0
887,0,2,5,8,11,85.40,0
888,0,3,3,3,5,83.90,0
889,0,3,8,9,12,89.50,0
890,0,6,10,12,12,88.00,0
891,0,3,4,8,11,85.80,0
892,0,6,6,8,8,85.10,0
893,0,3,6,9,11,85.60,0
894,0,5,6,9,12,85.00,0
895,0,6,9,12,13,88.30,0
896,0,4,9,11,12,87.30,0
897,0,1,11,11,13,85.60,0
898,0,5,11,12,12,81.30,0
899,0,4,5,5,7,80.40,0
900,0,6,7,8,9,82.20,0
901,0,1,8,10,11,85.00,0
902,0,2,2,8,8,90.50,0
903,0,5,5,5,9,86.70,0
904,0,6,8,9,11,82.10,0
905,0,7,8,9,13,81.30,0
906,0,2,4,6,12,94.30,0
907,0,5,5,8,10,77.70,0
908,0,6,12,13,13,86.70,0
909,0,2,3,6,6,91.30,0
910,0,3,3,3,9,81.90,0
911,0,1,3,3,11,87.00,0
912,0,6,7,9,12,84.60,0
913,0,1,3,6,11,86.70,0
914,0,1,3,9,9,83.40,0
915,0,2,2,7,12,81.20,0
916,0,4,6,6,9,87.70,0
917,0,5,8,11,12,85.50,0
918,0,4,5,7,9,85.00,0
919,0,1,5,10,11,84.50,0
920,0,2,4,12,12,82.90,0
921,0,3,7,8,13,83.10,0
922,0,1,4,5,13,87.00,0
923,0,7,9,9,13,86.60,0
924,0,2,3,9,10,89.60,0
925,0,1,2,8,13,90.80,0
926,0,2,3,6,13,89.70,0
927,0,1,4,4,11,85.20,0
928,0,3,4,6,11,87.80,0
929,0,3,6,9,12,92.20,0
930,0,6,7,8,11,81.80,0
931,0,5,6,8,10,85.20,0
932,0,6,8,9,9,85.30,0
933,0,1,2,7,11,86.10,0
934,0,1,4,4,8,88.20,0
935,0,4,7,9,13,81.50,0
936,0,1,2,3,13,91.80,0
937,0,1,7,9,11,84.40,0
938,0,4,5,6,8,86.20,0
939,0,2,3,4,7,85.80,0
940,0,1,5,9,13,84.40,0
941,0,3,3,6,7,86.90,0
942,0,6,6,7,12,82.30,0
943,0,3,4,5,6,82.00,0
944,0,2,3,10,12,85.70,0
945,0,2,6,8,13,85.60,0
946,0,3,3,7,12,82.20,0
947,0,1,2,6,10,85.90,0
948,0,1,3,8,13,90.40,0
949,0,6,7,10,12,83.50,0
950,0,2,2,8,9,85.70,0
951,0,3,4,6,8,90.90,0
952,0,2,5,10,10,75.20,0
953,0,2,4,5,6,90.70,0
954,0,1,7,10,13,82.80,0
955,0,2,7,12,13,78.80,0
956,0,2,6,12,12,87.70,0
957,0,2,4,6,8,92.90,0
958,0,1,3,7,10,86.10,0
959,0,4,5,10,12,84.00,0
960,0,6,9,9,11,80.70,0
961,0,4,4,5,11,84.20,0
962,0,4,4,8,12,91.20,0
963,0,6,11,12,13,76.90,0
964,0,3,5,7,10,82.80,0
965,0,4,4,6,13,80.70,0
966,0,6,10,12,13,80.60,0
967,0,7,8,8,12,80.50,0
968,0,2,2,2,5,75.50,0
969,0,2,3,4,9,87.60,0
970,0,2,4,6,11,84.50,0
971,0,3,4,9,13,76.70,0
972,0,4,8,11,13,81.50,0
973,0,3,3,9,12,86.00,0
974,0,3,4,6,6,90.00,0
975,0,5,10,12,13,82.00,0
976,0,2,5,7,7,81.30,0
977,0,2,2,5,12,83.80,0
978,0,1,2,2,9,79.50,0
979,0,4,9,10,13,81.00,0
980,0,1,5,6,7,88.20,0
981,0,1,9,10,13,80.60,0
982,0,3,3,4,11,87.20,0
983,0,2,3,5,7,88.50,0
984,0,3,9,10,13,80.70,0
985,0,1,3,7,12,84.90,0
986,0,2,4,4,6,89.60,0
987,0,7,7,8,11,76.50,0
988,0,3,4,8,12,86.40,0
989,0,8,8,10,12,76.00,0
990,0,6,8,8,12,87.10,0
991,0,5,9,12,12,81.50,0
992,0,3,7,9,11,86.90,0
993,0,1,3,4,8,87.70,0
994,0,1,5,7,9,82.80,0
995,0,1,5,8,11,89.40,0
996,0,4,4,7,10,73.00,0
997,0,5,5,8,13,77.60,0
998,0,2,3,3,10,83.70,0
999,0,5,8,10,11,85.10,0
1000,0,3,6,7,13,81.60,0
1001,0,2,6,7,11,79.60,0
1002,0,2,3,4,5,84.30,0
1003,0,4,5,6,13,76.20,0
1004,0,1,6,6,6,84.10,0
1005,0,1,5,12,12,79.20,0
1006,0,1,6,7,9,83.10,0
1007,0,1,4,8,9,88.00,0
1008,0,4,8,8,10,85.30,0
1009,0,3,3,6,12,85.80,0
1010,0,3,7,8,11,81.10,0
1011,0,2,3,7,13,85.90,0
1012,0,1,3,7,7,83.30,0
1013,0,3,5,7,9,85.00,0
1014,0,4,4,9,12,75.40,0
1015,0,2,7,9,11,81.90,0
1016,0,3,3,5,12,85.50,0
1017,0,1,4,7,7,82.40,0
1018,0,5,8,8,8,77.10,0
1019,0,6,8,9,12,84.50,0
1020,0,1,2,7,12,75.90,0
1021,0,2,4,9,12,85.30,0
1022,0,3,5,6,10,84.10,0
1023,0,3,3,5,13,82.90,0
1024,0,3,7,9,12,84.00,0
1025,0,4,10,12,13,79.40,0
1026,0,6,7,9,9,78.60,0
1027,0,8,9,9,12,79.80,0
1028,0,2,5,7,13,82.90,0
1029,0,2,6,10,13,83.50,0
1030,0,2,3,5,13,84.80,0
1031,0,5,6,6,8,78.30,0
1032,0,2,5,8,10,80.30,0
1033,0,2,4,4,5,81.10,0
1034,0,3,4,6,9,81.90,0
1035,0,3,5,10,13,80.50,0
1036,0,3,4,8,9,88.00,0
1037,0,4,8,9,13,81.90,0
1038,0,2,5,7,11,81.10,0
1039,0,7,8,10,10,76.90,0
1040,0,4,6,7,12,79.10,0
1041,0,5,5,8,12,77.30,0
1042,0,4,5,5,10,78.80,0
1043,0,2,4,4,10,89.70,0
1044,0,4,6,9,13,83.30,0
1045,0,2,5,11,12,73.80,0
1046,0,4,6,8,13,79.00,0
1047,0,2,5,6,6,76.10,0
1048,0,7,7,9,10,73.40,0
1049,0,2,3,6,12,90.60,0
1050,0,1,3,3,6,86.50,0
1051,0,3,5,11,12,78.10,0
1052,0,4,4,6,10,86.30,0
1053,0,2,5,5,7,80.40,0
1054,0,2,9,11,13,79.80,0
1055,0,4,6,6,12,84.00,0
1056,0,1,4,5,7,87.80,0
1057,0,2,4,5,7,77.30,0
1058,0,5,8,10,12,81.90,0
1059,0,4,4,6,9,75.30,0
1060,0,1,4,7,9,80.70,0
1061,0,3,3,3,11,76.20,0
1062,0,7,8,9,10,76.70,0
1063,0,6,9,9,12,86.30,0
1064,0,3,4,9,9,83.70,0
1065,0,4,4,7,8,82.90,0
1066,0,2,4,8,13,81.10,0
1067,0,7,9,10,11,73.80,0
1068,0,5,7,11,13,69.90,0
1069,0,3,3,9,13,73.10,0
1070,0,2,3,5,10,77.40,0
1071,0,7,10,10,12,74.10,0
1072,0,5,6,10,12,74.00,0
1073,0,2,3,3,3,80.60,0
1074,0,3,3,3,4,80.50,0
1075,0,5,7,7,9,72.00,0
1076,0,4,8,12,12,85.40,0
1077,0,4,10,11,13,73.50,0
1078,0,3,5,6,11,80.50,0
1079,0,2,6,6,7,75.60,0
1080,0,4,7,10,12,76.90,0
1081,0,4,9,10,11,73.00,0
1082,0,5,5,7,10,72.20,0
1083,0,4,5,8,13,74.10,0
1084,0,6,9,10,12,78.70,0
1085,0,2,3,8,8,78.10,0
1086,0,1,4,5,8,81.00,0
1087,0,4,4,6,8,82.00,0
1088,0,3,5,7,8,85.20,0
1089,0,2,3,7,8,78.80,0
1090,0,3,3,8,10,79.30,0
1091,0,2,7,10,11,77.20,0
1092,0,1,5,8,13,77.60,0
1093,0,3,5,9,9,78.00,0
1094,0,3,3,5,10,80.60,0
1095,0,5,9,10,13,76.10,0
1096,0,1,4,5,9,80.20,0
1097,0,3,5,5,11,77.90,0
1098,0,5,7,10,10,73.40,0
1099,0,2,8,10,13,79.80,0
1100,0,2,5,10,13,78.60,0
1101,0,2,5,9,10,76.10,0
1102,0,1,3,6,10,80.40,0
1103,0,2,3,8,9,79.90,0
1104,0,3,5,6,13,73.20,0
1105,0,5,5,9,11,69.30,0
1106,0,3,3,9,11,78.20,0
1107,0,4,4,5,12,76.70,0
1108,0,3,8,9,11,78.20,0
1109,0,7,10,11,13,69.50,0
1110,0,1,3,7,9,78.70,0
1111,0,4,10,10,12,74.70,0
1112,0,6,9,11,12,72.40,0
1113,0,1,1,6,9,78.10,0
1114,0,2,4,7,9,80.40,0
1115,0,6,8,11,12,75.60,0
1116,0,2,6,9,12,83.30,0
1117,0,6,7,7,10,67.50,0
1118,0,3,3,6,8,71.60,0
1119,0,3,6,11,13,71.30,0
1120,0,2,4,9,10,77.10,0
1121,0,3,4,7,12,81.50,0
1122,0,6,9,11,13,68.20,0
1123,0,1,5,6,11,76.90,0
1124,0,2,2,5,9,71.50,0
1125,0,1,3,5,6,85.10,0
1126,0,2,10,12,13,79.00,0
1127,0,4,5,8,10,73.80,0
1128,0,2,2,2,9,73.70,0
1129,0,4,5,8,11,71.90,0
1130,0,5,7,9,11,67.90,0
1131,0,3,4,10,10,73.90,0
1132,0,3,6,8,13,79.20,0
1133,0,2,6,12,13,76.90,0
1134,0,6,7,10,10,67.30,0
1135,0,5,6,6,12,79.00,0
1136,0,1,5,5,10,70.20,0
1137,0,2,2,5,10,76.30,0
1138,0,4,6,9,12,75.90,0
1139,0,2,2,2,7,69.20,0
1140,0,5,7,8,10,70.20,0
1141,0,1,4,6,6,76.20,0
1142,0,3,3,9,10,75.30,0
1143,0,5,9,9,12,72.10,0
1144,0,4,4,4,10,74.80,0
1145,0,2,2,3,4,75.70,0
1146,0,4,7,8,12,77.30,0
1147,0,3,4,4,10,72.90,0
1148,0,3,4,4,11,72.10,0
1149,0,2,4,10,11,75.00,0
1150,0,2,6,11,12,75.70,0
1151,0,6,12,12,12,72.90,0
1152,0,1,4,4,6,79.30,0
1153,0,2,3,8,10,81.50,0
1154,0,2,6,6,9,71.20,0
1155,0,2,3,6,7,79.60,0
1156,0,2,6,10,11,69.60,0
1157,0,1,3,8,10,68.80,0
1158,0,3,6,6,13,69.10,0
1159,0,2,5,9,11,73.90,0
1160,0,2,5,5,9,75.40,0
1161,0,2,3,7,7,74.90,0
1162,0,5,5,6,8,76.10,0
1163,0,2,2,7,7,66.70,0
1164,0,3,3,4,13,73.70,0
1165,0,3,6,8,12,77.40,0
1166,0,1,3,11,12,74.20,0
1167,0,3,10,11,13,69.10,0
1168,0,1,5,11,12,67.00,0
1169,0,4,9,9,12,68.10,0
1170,0,7,7,7,12,62.30,0
1171,0,1,3,12,13,72.70,0
1172,0,5,6,9,13,66.80,0
1173,0,2,3,7,10,75.20,0
1174,0,6,10,10,13,63.80,0
1175,0,6,6,9,10,66.90,0
1176,0,4,5,7,13,67.70,0
1177,0,4,4,5,13,69.80,0
1178,0,3,9,9,13,65.00,0
1179,0,4,7,8,11,64.70,0
1180,0,6,8,9,10,69.30,0
1181,0,2,8,10,12,77.00,0
1182,0,2,5,8,8,66.60,0
1183,0,2,2,9,12,71.90,0
1184,0,5,5,5,12,63.80,0
1185,0,5,7,7,10,63.00,0
1186,0,4,6,8,10,72.70,0
1187,0,2,4,4,9,70.00,0
1188,0,3,5,7,12,68.70,0
1189,0,3,5,8,9,73.50,0
1190,0,2,2,6,7,69.50,0
1191,0,6,10,11,12,65.50,0
1192,0,7,9,12,12,59.90,0
1193,0,4,5,6,9,74.50,0
1194,0,3,5,12,12,62.00,0
1195,0,2,7,10,10,65.40,0
1196,0,2,6,8,9,71.00,0
1197,0,1,4,10,12,67.90,0
1198,0,2,4,7,8,75.50,0
1199,0,2,6,7,10,67.10,0
1200,0,3,6,8,10,65.30,0
1201,0,5,7,12,12,62.00,0
1202,0,8,10,12,13,65.00,0
1203,0,3,8,9,13,69.60,0
1204,0,3,5,12,13,65.50,0
1205,0,6,6,6,10,63.40,0
1206,0,2,6,9,10,67.20,0
1207,0,4,8,9,12,71.10,0
1208,0,3,3,8,13,64.20,0
1209,0,3,9,9,11,67.70,0
1210,0,1,5,7,10,68.40,0
1211,0,8,8,8,11,58.60,0
1212,0,2,3,11,11,65.80,0
1213,0,2,7,10,12,67.40,0
1214,0,2,3,10,10,64.20,0
1215,0,1,3,3,8,70.60,0
1216,0,5,9,12,13,61.60,0
1217,0,3,5,10,11,66.90,0
1218,0,3,6,9,13,68.00,0
1219,0,9,9,9,12,60.80,0
1220,0,3,4,8,13,65.20,0
1221,0,2,3,5,8,70.10,0
1222,0,10,12,12,12,58.20,0
1223,0,1,3,8,11,69.40,0
1224,0,2,2,4,4,70.20,0
1225,0,10,10,10,12,57.60,0
1226,0,4,4,8,9,67.10,0
1227,0,2,7,12,12,59.40,0
1228,0,2,2,9,10,62.00,0
1229,0,6,8,10,11,60.70,0
1230,0,3,5,9,10,64.50,0
1231,0,2,2,4,12,73.00,0
1232,0,1,2,8,10,64.40,0
1233,0,5,9,11,13,60.30,0
1234,0,6,8,8,9,59.10,0
1235,0,3,5,7,11,60.50,0
1236,0,2,9,10,10,57.60,0
1237,0,3,3,7,8,63.90,0
1238,0,2,4,5,10,65.30,0
1239,0,4,5,7,10,60.60,0
1240,0,2,3,6,8,73.10,0
1241,0,2,3,9,12,63.40,0
1242,0,2,3,3,5,66.50,0
1243,0,5,7,10,13,57.70,0
1244,0,1,6,10,12,62.50,0
1245,0,9,11,12,12,53.30,0
1246,0,3,4,5,13,62.10,0
1247,0,7,8,8,10,56.50,0
1248,0,4,10,11,12,59.00,0
1249,0,3,4,4,4,63.40,0
1250,0,2,2,6,11,57.60,0
1251,0,2,4,5,5,57.20,0
1252,0,5,7,9,10,56.40,0
1253,0,1,5,9,12,58.90,0
1254,0,2,5,10,12,60.60,0
1255,0,8,10,12,12,57.50,0
1256,0,4,9,10,12,57.00,0
1257,0,3,5,10,10,50.90,0
1258,0,2,2,5,8,59.60,0
1259,0,1,4,9,13,58.60,0
1260,0,3,4,5,11,61.40,0
1261,0,8,9,11,11,52.50,0
1262,0,2,6,9,9,53.80,0
1263,0,4,7,8,10,58.30,0
1264,0,2,3,13,13,54.20,0
1265,0,4,10,10,11,53.20,0
1266,0,3,4,7,8,56.60,0
1267,0,3,9,11,13,53.40,0
1268,0,4,5,9,12,58.20,0
1269,0,1,7,12,13,52.40,0
1270,0,5,6,7,9,57.00,0
1271,0,2,3,7,9,55.40,0
1272,0,6,6,7,11,52.50,0
1273,0,5,6,6,9,54.30,0
1274,0,3,3,6,6,54.50,0
1275,0,2,5,12,13,54.80,0
1276,0,8,8,9,12,50.40,0
1277,0,1,4,6,10,51.80,0
1278,0,3,6,7,10,54.30,0
1279,0,2,5,7,9,50.30,0
1280,0,6,6,9,13,47.20,0
1281,0,4,4,7,13,46.80,0
1282,0,2,5,8,12,50.60,0
1283,0,5,5,8,11,45.50,0
1284,0,2,2,7,10,48.00,0
1285,0,2,2,3,10,50.50,0
1286,0,4,7,9,11,48.20,0
1287,0,1,2,7,7,49.40,0
1288,0,6,7,11,11,42.10,0
1289,0,7,9,11,12,45.40,0
1290,0,2,2,3,5,47.60,0
1291,0,2,4,7,7,47.60,0
1292,0,3,6,6,10,44.90,0
1293,0,2,2,6,9,45.50,0
1294,0,3,8,10,12,47.20,0
1295,0,6,7,7,11,39.60,0
1296,0,5,9,10,11,40.50,0
1297,0,4,9,11,11,38.80,0
1298,0,1,5,11,11,39.00,0
1299,0,1,2,9,11,38.80,0
1300,0,8,9,10,12,40.10,0
1301,0,3,5,8,13,37.50,0
1302,0,7,8,9,12,42.90,0
1303,0,1,7,13,13,36.60,0
1304,0,2,5,6,9,38.30,0
1305,0,5,10,10,11,34.10,0
1306,0,1,3,9,10,37.90,0
1307,0,4,7,11,13,34.10,0
1308,0,4,5,6,12,39.30,0
1309,0,3,5,8,12,35.30,0
1310,0,3,3,7,7,35.40,0
1311,0,6,7,8,12,37.30,0
1312,0,4,6,7,9,36.60,0
1313,0,1,5,5,5,38.30,0
1314,0,4,6,6,10,34.40,0
1315,0,5,7,9,12,37.10,0
1316,0,1,6,11,13,32.80,0
1317,0,5,6,9,11,29.90,0
1318,0,4,4,7,7,34.70,0
1319,0,5,10,10,13,32.50,0
1320,0,4,5,6,11,35.20,0
1321,0,6,12,12,13,34.20,0
1322,0,3,4,6,13,35.40,0
1323,0,5,8,9,13,31.70,0
1324,0,2,4,11,12,33.60,0
1325,0,2,2,6,13,29.40,0
1326,0,5,7,10,11,30.00,0
1327,0,1,4,7,11,31.50,0
1328,0,4,4,10,10,35.20,0
1329,0,2,7,8,9,36.70,0
1330,0,6,9,9,10,28.40,0
1331,0,7,10,12,13,34.10,0
1332,0,5,6,8,13,31.50,0
1333,0,3,3,7,13,25.10,0
1334,0,6,11,12,12,31.20,0
1335,0,2,2,13,13,31.20,0
1336,0,2,2,11,11,32.70,0
1337,0,2,5,7,8,27.60,0
1338,0,3,8,8,10,24.00,0
1339,0,4,8,8,13,25.20,0
1340,0,7,8,8,13,24.40,0
1341,0,2,2,10,11,25.50,0
1342,0,5,7,7,11,21.60,0
1343,0,2,7,7,10,22.10,0
1344,0,2,9,13,13,22.00,0
1345,0,4,8,8,11,24.00,0
1346,0,2,4,7,12,23.30,0
1347,0,2,3,8,13,26.00,0
1348,0,3,3,5,7,23.30,0
1349,0,9,11,12,13,24.50,0
1350,0,1,6,6,8,23.10,0
1351,0,3,7,9,13,20.90,0
1352,0,3,3,8,8,27.70,0
1353,0,7,8,10,11,21.60,0
1354,0,5,5,7,11,20.50,0
1355,0,3,6,6,11,22.50,0
1356,0,2,4,10,10,21.60,0
1357,0,3,5,7,13,18.50,0
1358,0,1,8,12,12,23.80,0
1359,0,2,5,5,10,16.90,0
1360,0,1,3,4,6,19.60,0
1361,0,1,4,5,6,23.80,0
1362,0,2,3,5,12,14.80,0
